open,high,low,close,volume,adj_high,adj_low,adj_close,adj_open,adj_volume,split_factor,dividend,symbol,exchange,date
721.25,724.85,720.47,720.65,37698106.0,724.87,720.47,720.65,721.25,43049849.0,1.0,0.0,SPY,ARCX,2026-05-01 00:00:00+00:00
714.63,719.79,710.45,718.66,67093100.0,719.79,710.445,718.66,714.63,67240949.0,1.0,0.0,SPY,ARCX,2026-04-30 00:00:00+00:00
711.0,712.2,708.37,711.58,41042300.0,712.2,708.37,711.58,711.0,41859227.0,1.0,0.0,SPY,ARCX,2026-04-29 00:00:00+00:00
711.82,712.88,709.25,711.69,43066700.0,712.88,709.25,711.69,711.815,43117436.0,1.0,0.0,SPY,ARCX,2026-04-28 00:00:00+00:00
713.17,715.63,712.3,715.17,33060400.0,715.63,712.295,715.17,713.17,33135943.0,1.0,0.0,SPY,ARCX,2026-04-27 00:00:00+00:00
710.75,714.47,709.01,713.94,45123600.0,714.47,709.01,713.94,710.75,45181957.0,1.0,0.0,SPY,ARCX,2026-04-24 00:00:00+00:00
709.5,712.36,702.28,708.45,56047300.0,712.3598,702.2803,708.45,709.5,56173990.0,1.0,0.0,SPY,ARCX,2026-04-23 00:00:00+00:00
709.15,711.45,708.22,711.21,42473500.0,711.45,708.22,711.21,709.15,42518498.0,1.0,0.0,SPY,ARCX,2026-04-22 00:00:00+00:00
710.28,711.28,702.64,704.08,58571700.0,711.275,702.64,704.08,710.28,58941384.0,1.0,0.0,SPY,ARCX,2026-04-21 00:00:00+00:00
708.78,709.91,706.14,708.72,43484600.0,709.91,706.14,708.72,708.78,43546812.0,1.0,0.0,SPY,ARCX,2026-04-20 00:00:00+00:00
706.14,712.39,705.76,710.14,70538900.0,712.39,705.76,710.14,706.14,70661926.0,1.0,0.0,SPY,ARCX,2026-04-17 00:00:00+00:00
701.06,702.78,698.53,701.66,49873200.0,702.78,698.53,701.66,701.06,49972363.0,1.0,0.0,SPY,ARCX,2026-04-16 00:00:00+00:00
695.26,700.28,694.2,699.94,58138100.0,700.28,694.2,699.94,695.26,58240384.0,1.0,0.0,SPY,ARCX,2026-04-15 00:00:00+00:00
